"Date","Price","Open","High","Low","Change %"
"12/15/2025","13.330","13.330","13.330","13.330","1.60%"
"12/12/2025","13.120","13.120","13.120","13.120","0.00%"
"12/11/2025","13.120","13.120","13.120","13.120","1.63%"
"12/10/2025","12.909","13.013","13.013","12.909","-0.80%"
"12/09/2025","13.013","13.330","13.330","13.013","-2.38%"
"12/08/2025","13.330","13.330","13.330","13.330","0.00%"
"12/05/2025","13.330","13.330","13.330","13.330","2.44%"
"12/04/2025","13.013","12.909","13.120","12.909","-0.82%"
"12/03/2025","13.120","13.120","13.120","13.120","0.00%"
"12/02/2025","13.120","13.120","13.120","13.120","0.00%"
"12/01/2025","13.120","13.120","13.120","13.120","0.00%"
"11/28/2025","13.120","13.120","13.120","13.120","0.00%"
"11/27/2025","13.120","13.120","13.120","13.120","0.00%"
"11/26/2025","13.120","13.120","13.120","13.120","0.00%"
"11/25/2025","13.120","13.120","13.120","13.120","0.85%"
"11/24/2025","13.010","13.010","13.010","13.010","0.00%"
"11/21/2025","13.010","13.010","13.010","13.010","0.00%"
"11/20/2025","13.010","13.010","13.010","13.010","0.00%"
"11/19/2025","13.010","13.010","13.010","13.010","0.00%"
"11/18/2025","13.010","13.010","13.010","13.010","0.00%"
"11/17/2025","13.010","13.010","13.010","13.010","0.00%"
"11/14/2025","13.010","13.010","13.010","13.010","0.00%"
"11/13/2025","13.010","13.010","13.010","13.010","0.00%"
"11/12/2025","13.010","13.010","13.010","13.010","0.00%"
"11/11/2025","13.010","13.010","13.010","13.010","0.00%"
"11/10/2025","13.010","13.010","13.010","13.010","0.00%"
"11/07/2025","13.010","13.010","13.010","13.010","0.00%"
"11/06/2025","13.010","13.010","13.010","13.010","0.00%"
"11/05/2025","13.010","13.010","13.010","13.010","0.00%"
"11/04/2025","13.010","13.010","13.010","13.010","0.00%"
"11/03/2025","13.010","13.010","13.010","13.010","0.00%"
"10/31/2025","13.010","13.010","13.010","13.010","0.00%"
"10/30/2025","13.010","13.010","13.010","13.010","0.00%"
"10/29/2025","13.010","13.010","13.010","13.010","-0.08%"
"10/28/2025","13.020","13.020","13.020","13.020","0.86%"
"10/27/2025","12.909","13.020","13.020","12.909","0.00%"
"10/24/2025","12.909","13.020","13.020","12.909","-2.28%"
"10/23/2025","13.210","13.210","13.210","13.210","0.00%"
"10/22/2025","13.210","13.210","13.210","13.210","0.00%"
"10/21/2025","13.210","13.210","13.210","13.210","0.00%"
"10/17/2025","13.210","13.210","13.210","13.210","0.00%"
"10/16/2025","13.210","13.210","13.210","13.210","0.00%"
"10/15/2025","13.210","13.210","13.210","13.210","0.00%"
"10/14/2025","13.210","13.210","13.210","13.210","0.00%"
"10/13/2025","13.210","13.210","13.210","13.210","-1.34%"
"10/09/2025","13.390","13.390","13.390","13.390","0.00%"
"10/08/2025","13.390","13.390","13.390","13.390","0.93%"
"10/07/2025","13.266","13.390","13.390","13.266","-0.93%"
"10/06/2025","13.390","13.390","13.390","13.390","0.00%"
"10/03/2025","13.390","13.390","13.390","13.390","0.00%"
"10/02/2025","13.390","13.390","13.390","13.390","0.00%"
"10/01/2025","13.390","13.390","13.390","13.390","0.00%"
"09/30/2025","13.390","13.390","13.390","13.390","-0.67%"
"09/29/2025","13.480","13.480","13.480","13.480","0.00%"
"09/26/2025","13.480","13.480","13.480","13.480","0.00%"
"09/25/2025","13.480","13.480","13.480","13.480","0.00%"
"09/24/2025","13.480","13.480","13.480","13.480","0.00%"
"09/23/2025","13.480","13.480","13.480","13.480","1.52%"
"09/22/2025","13.278","13.480","13.480","13.278","-1.50%"
"09/19/2025","13.480","13.480","13.480","13.480","0.00%"
"09/18/2025","13.480","13.480","13.480","13.480","0.00%"
"09/17/2025","13.480","13.480","13.480","13.480","0.00%"
"09/16/2025","13.480","13.480","13.480","13.480","0.00%"
"09/15/2025","13.480","13.480","13.480","13.480","1.30%"
"09/12/2025","13.307","13.480","13.480","13.307","0.00%"
"09/11/2025","13.307","13.490","13.490","13.307","-1.36%"
"09/10/2025","13.490","13.490","13.490","13.490","0.00%"
"09/09/2025","13.490","13.490","13.490","13.490","0.00%"
"09/08/2025","13.490","13.490","13.490","13.490","0.00%"
"09/05/2025","13.490","13.490","13.490","13.490","0.00%"
"09/04/2025","13.490","13.490","13.490","13.490","0.00%"
"09/03/2025","13.490","13.490","13.490","13.490","0.00%"
"09/02/2025","13.490","13.490","13.490","13.490","0.00%"
"09/01/2025","13.490","13.490","13.490","13.490","0.66%"
"08/29/2025","13.402","13.570","13.570","13.402","-1.24%"
"08/28/2025","13.570","13.570","13.570","13.570","0.00%"
"08/27/2025","13.570","13.570","13.570","13.570","-0.22%"
"08/26/2025","13.600","13.600","13.600","13.600","0.58%"
"08/25/2025","13.521","13.600","13.600","13.521","-0.58%"
"08/22/2025","13.600","13.600","13.600","13.600","0.58%"
"08/21/2025","13.521","13.600","13.600","13.521","-0.58%"
"08/20/2025","13.600","13.600","13.600","13.600","0.00%"
"08/19/2025","13.600","13.600","13.600","13.600","0.58%"
"08/18/2025","13.521","13.600","13.600","13.454","-0.58%"
"08/15/2025","13.600","13.600","13.600","13.600","0.00%"
"08/14/2025","13.600","13.600","13.600","13.600","0.56%"
"08/13/2025","13.524","13.600","13.600","13.524","-0.56%"
"08/12/2025","13.600","13.600","13.600","13.600","0.00%"
"08/11/2025","13.600","13.600","13.600","13.600","0.00%"
"08/08/2025","13.600","13.600","13.600","13.600","0.00%"
"08/07/2025","13.600","13.600","13.600","13.600","0.00%"
"08/06/2025","13.600","13.600","13.600","13.600","0.00%"
"08/05/2025","13.600","13.600","13.600","13.600","0.56%"
"08/04/2025","13.524","13.610","13.610","13.524","-0.63%"
"08/01/2025","13.610","13.610","13.610","13.610","0.00%"
"07/31/2025","13.610","13.610","13.610","13.610","0.00%"
"07/30/2025","13.610","13.610","13.610","13.610","0.00%"
"07/29/2025","13.610","13.610","13.610","13.610","0.00%"
"07/28/2025","13.610","13.610","13.610","13.610","0.44%"
"07/25/2025","13.550","13.550","13.550","13.550","0.00%"
"07/24/2025","13.550","13.550","13.550","13.550","0.00%"
"07/23/2025","13.550","13.550","13.550","13.550","0.00%"
"07/22/2025","13.550","13.550","13.550","13.550","0.30%"
"07/21/2025","13.510","13.510","13.510","13.510","0.00%"
"07/18/2025","13.510","13.510","13.510","13.510","0.00%"
"07/17/2025","13.510","13.510","13.510","13.510","0.00%"
"07/16/2025","13.510","13.510","13.510","13.510","0.00%"
"07/15/2025","13.510","13.510","13.510","13.510","0.00%"
"07/14/2025","13.510","13.510","13.510","13.510","0.87%"
"07/11/2025","13.394","13.490","13.490","13.385","-0.71%"
"07/10/2025","13.490","13.490","13.490","13.490","0.00%"
"07/09/2025","13.490","13.490","13.490","13.490","0.00%"
"07/08/2025","13.490","13.490","13.490","13.490","-0.30%"
"07/07/2025","13.530","13.530","13.530","13.530","0.00%"
"07/04/2025","13.530","13.530","13.530","13.530","0.00%"
"07/03/2025","13.530","13.530","13.530","13.530","0.83%"
"07/02/2025","13.419","13.490","13.490","13.419","-0.53%"
"07/01/2025","13.490","13.490","13.490","13.490","0.00%"
"06/30/2025","13.490","13.490","13.490","13.490","0.00%"
"06/27/2025","13.490","13.490","13.490","13.490","-0.07%"
"06/26/2025","13.500","13.500","13.500","13.500","0.00%"
"06/25/2025","13.500","13.500","13.500","13.500","0.00%"
"06/24/2025","13.500","13.500","13.500","13.500","0.00%"
"06/23/2025","13.500","13.500","13.500","13.500","0.00%"
